sweep_id,pdb_id_id,wavelength,MR_success,TFZ,LLG,PAK,mr_reso,mr_sg,mr_sg_no,RMSD,VRMS,eLLG,tncs,model_pdb,seq_ident,model_res,anomalousCC,IoverSigma,completeness,diffI,RmergeI,lowreslimit,RpimI,multiplicity,RmeasdiffI,anomalousslope,diffF,wilsonbfactor,RmeasI,highreslimit,RpimdiffI,anomalousmulti,RmergediffI,totalobservations,anomalouscompl,cchalf,totalunique
952,1035,0.9184,0.00,5.60,40.00,9.00,1.75,P21212,18,1.06,1.42,184.70,0.00,4R8O,26.92,2.50,0.3450,8.45,99.85,1.362,0.0809,37.28,0.0478,3.62,0.0843,0.950,0.137,21.13,0.0944,1.74,0.0553,1.94,0.0632,"65,300",99.51,0.9987,"18,055"
953,1035,0.9786,0.00,5.60,40.00,9.00,1.75,P21212,18,1.06,1.42,184.70,0.00,4R8O,26.92,2.50,0.4749,8.66,99.90,1.438,0.0866,37.27,0.0510,3.61,0.0861,0.996,0.140,22.04,0.1010,1.77,0.0563,1.94,0.0647,"62,010",99.66,0.9980,"17,183"
90,1036,0.9795,1.00,17.30,157.00,0.00,2.08,P6522,179,0.94,1.00,257.60,0.00,1B47,48.68,2.20,-0.2032,7.28,99.95,0.000,0.1532,72.09,0.0504,9.60,0.1622,0.695,0.000,40.71,0.1616,2.08,0.0681,5.25,0.1468,"270,845",98.79,0.9983,"28,215"
775,1041,0.9795,0.00,6.30,26.00,0.00,2.69,P4332,212,0.50,0.89,77.90,0.00,1FLI,85.71,0.00,-0.0414,23.88,100.00,0.000,0.0834,92.37,0.0177,23.85,0.0856,0.937,0.000,66.95,0.0854,2.69,0.0235,13.25,0.0822,"266,103",100.00,0.9956,"11,157"
474,1043,0.9793,0.00,5.00,24.00,9.00,2.18,P3221,154,1.11,1.81,300.90,0.00,2TLX,21.98,1.65,-0.1938,6.39,98.89,1.035,0.1368,50.50,0.0643,5.19,0.1527,0.837,0.154,29.83,0.1517,2.18,0.0870,2.79,0.1241,"147,390",90.97,0.9932,"28,397"
475,1043,0.9611,0.00,5.00,24.00,9.00,2.18,P3221,154,1.11,1.81,300.90,0.00,2TLX,21.98,1.65,-0.1237,6.46,99.12,1.052,0.1351,50.50,0.0632,5.25,0.1486,0.872,0.152,30.59,0.1496,2.16,0.0846,2.80,0.1208,"153,695",92.07,0.9935,"29,283"
476,1043,0.9791,0.00,5.00,24.00,9.00,2.18,P3221,154,1.11,1.81,300.90,0.00,2TLX,21.98,1.65,-0.1264,6.94,100.00,1.180,0.1755,50.30,0.0810,5.59,0.1933,0.931,0.168,27.48,0.1938,2.36,0.1096,2.92,0.1576,"126,801",98.06,0.9881,"22,666"
750,1045,1.0000,0.00,9.30,57.00,7.00,1.60,P6422,181,1.05,1.28,139.70,0.00,4CQ1,29.84,1.69,-0.0995,17.26,99.97,0.000,0.0643,50.04,0.0205,10.85,0.0681,0.894,0.000,21.66,0.0676,1.60,0.0282,5.75,0.0618,"556,920",99.93,0.9992,"51,323"
1127,1046,0.9763,1.00,15.90,178.00,3.00,1.79,P43212,96,0.99,1.16,559.00,0.00,2X47,32.41,1.70,-0.0759,13.51,100.00,0.000,0.1053,70.90,0.0291,13.96,0.1101,0.855,0.000,28.18,0.1094,1.79,0.0394,7.52,0.1027,"337,977",100.00,0.9980,"24,216"
784,1048,0.9793,0.00,4.50,15.00,4.00,1.47,P43212,96,0.95,1.83,323.90,0.00,3G8Z,21.05,1.90,0.5097,13.90,88.57,1.480,0.0736,34.78,0.0310,5.79,0.0705,1.200,0.104,12.20,0.0801,1.47,0.0365,3.24,0.0601,"101,380",82.02,0.9987,"17,524"
785,1048,0.9184,0.00,4.50,15.00,4.00,1.47,P43212,96,0.95,1.83,323.90,0.00,3G8Z,21.05,1.90,0.3983,12.79,92.17,1.411,0.0776,34.79,0.0324,5.87,0.0768,1.108,0.112,12.82,0.0843,1.45,0.0397,3.29,0.0655,"111,471",84.64,0.9987,"18,981"
786,1048,0.9790,0.00,4.50,15.00,4.00,1.47,P43212,96,0.95,1.83,323.90,0.00,3G8Z,21.05,1.90,0.6423,13.78,93.99,1.637,0.0834,34.79,0.0349,5.98,0.0745,1.329,0.120,12.58,0.0906,1.51,0.0387,3.30,0.0634,"102,802",89.76,0.9984,"17,193"
1309,1050,0.9793,1.00,13.10,137.00,1.00,1.43,C2221,20,1.08,1.58,965.00,0.00,3KEZ,37.67,1.90,0.2941,13.20,97.69,1.357,0.0894,43.36,0.0360,6.80,0.0906,1.020,0.111,9.12,0.0965,1.43,0.0466,3.58,0.0774,"713,841",93.79,0.9986,"104,911"
1310,1050,0.9184,1.00,13.10,137.00,1.00,1.43,C2221,20,1.08,1.58,965.00,0.00,3KEZ,37.67,1.90,0.2793,12.50,98.93,1.336,0.0905,43.38,0.0360,7.06,0.0921,0.983,0.111,9.30,0.0975,1.38,0.0470,3.68,0.0789,"833,700",96.84,0.9988,"118,108"
1311,1050,0.9789,1.00,13.10,137.00,1.00,1.43,C2221,20,1.08,1.58,965.00,0.00,3KEZ,37.67,1.90,0.4386,13.35,98.38,1.474,0.0952,43.36,0.0382,6.92,0.0930,1.109,0.118,9.09,0.1028,1.45,0.0477,3.63,0.0795,"702,036",95.36,0.9985,"101,410"
1260,1051,0.9200,1.00,17.10,346.00,0.00,1.61,P1211,4,0.73,0.71,333.70,0.00,4UYB,70.07,1.50,-0.0369,9.47,95.41,0.000,0.1151,82.13,0.0460,6.36,0.1261,0.822,0.000,11.95,0.1245,1.61,0.0642,3.31,0.1077,"751,502",90.75,0.9962,"118,190"
625,1055,0.9792,0.00,5.20,37.00,8.00,1.18,P1211,4,1.05,1.91,590.20,0.00,4K05,32.33,1.65,0.7983,11.76,84.83,1.874,0.0799,55.98,0.0486,3.43,0.0555,1.507,0.120,8.55,0.0937,1.18,0.0371,1.83,0.0411,"301,321",77.00,0.9968,"87,878"
109,1057,0.9793,0.00,4.80,38.00,0.00,2.32,P121,3,0.90,1.08,81.80,0.00,3NNR,37.26,2.49,0.6169,8.16,99.23,1.148,0.0752,43.19,0.0567,2.71,0.0728,0.805,0.118,44.71,0.0947,2.32,0.0514,1.42,0.0516,"176,804",96.05,0.9946,"65,295"
110,1057,0.9184,0.00,4.80,38.00,0.00,2.32,P121,3,0.90,1.08,81.80,0.00,3NNR,37.26,2.49,0.2770,7.88,99.21,0.916,0.0609,40.96,0.0456,2.71,0.0724,0.670,0.105,51.22,0.0765,2.28,0.0511,1.42,0.0513,"183,909",96.16,0.9971,"67,802"
111,1057,0.9792,0.00,4.80,38.00,0.00,2.32,P121,3,0.90,1.08,81.80,0.00,3NNR,37.26,2.49,0.6187,7.70,90.54,1.057,0.0757,43.30,0.0618,2.27,0.0852,0.766,0.128,43.67,0.0982,2.47,0.0602,1.27,0.0603,"111,999",76.36,0.9937,"49,316"
980,1065,0.9763,1.00,15.40,200.00,3.00,1.89,C2221,20,0.98,1.57,"1,552.20",0.00,1REQ,59.44,2.00,-0.0617,22.54,58.04,0.000,0.0469,56.68,0.0184,5.61,0.0503,0.914,0.000,21.97,0.0507,1.89,0.0243,3.30,0.0437,"214,197",44.06,0.9990,"38,179"
606,1069,0.9796,1.00,10.30,104.00,1.00,2.15,P212121,19,1.10,1.65,870.10,0.00,3VIU,42.55,2.35,0.2395,12.67,66.47,1.234,0.0789,63.39,0.0454,3.41,0.0838,1.318,0.100,27.56,0.0916,2.39,0.0524,1.92,0.0647,"52,020",58.98,0.9944,"15,253"
607,1069,1.0035,1.00,10.30,104.00,1.00,2.15,P212121,19,1.10,1.65,870.10,0.00,3VIU,42.55,2.35,-0.1164,13.16,78.13,0.915,0.0571,63.36,0.0330,3.47,0.0662,0.841,0.083,28.51,0.0663,2.56,0.0414,1.94,0.0512,"51,013",71.51,0.9968,"14,708"
608,1069,1.0032,1.00,10.30,104.00,1.00,2.15,P212121,19,1.10,1.65,870.10,0.00,3VIU,42.55,2.35,-0.0618,9.72,69.50,1.020,0.0652,63.43,0.0386,3.26,0.0737,0.832,0.108,30.33,0.0763,2.11,0.0463,1.86,0.0568,"74,919",58.90,0.9970,"22,979"
609,1069,1.0000,1.00,10.30,104.00,1.00,2.15,P212121,19,1.10,1.65,870.10,0.00,3VIU,42.55,2.35,-0.1134,7.73,99.18,1.063,0.1230,59.62,0.0644,4.34,0.1413,0.681,0.151,28.58,0.1394,2.15,0.0871,2.31,0.1104,"135,019",98.60,0.9952,"31,141"
306,1071,0.9790,1.00,23.60,570.00,7.00,2.50,P21212,18,0.91,0.93,489.30,0.00,4ECN,66.03,2.80,0.0685,6.77,97.88,1.196,0.1196,76.65,0.0758,3.26,0.1383,0.723,0.183,38.11,0.1422,2.50,0.0930,1.76,0.1019,"186,224",92.85,0.9948,"57,103"
307,1071,0.9184,1.00,23.60,570.00,7.00,2.50,P21212,18,0.91,0.93,489.30,0.00,4ECN,66.03,2.80,-0.0056,6.62,98.11,1.165,0.1198,64.45,0.0758,3.27,0.1424,0.688,0.189,37.87,0.1424,2.53,0.0957,1.76,0.1048,"180,483",92.94,0.9945,"55,234"
1052,1073,0.9792,0.00,9.70,82.00,4.00,2.05,P212121,19,0.97,0.82,72.30,0.00,4OBI,30.43,1.73,0.6460,11.87,99.60,1.435,0.0749,39.83,0.0300,7.20,0.0700,1.066,0.082,52.58,0.0808,2.05,0.0354,3.90,0.0603,"80,053",99.64,0.9983,"11,114"
178,1074,0.9763,1.00,33.20,"1,466.00",7.00,1.53,H3,146,0.46,0.11,"3,491.80",0.00,3UVD,87.80,1.85,-0.1868,13.82,99.68,0.000,0.0642,36.85,0.0266,6.69,0.0691,0.972,0.000,20.78,0.0696,1.53,0.0369,3.36,0.0582,"186,996",98.89,0.9981,"27,939"
570,1089,0.9791,0.00,9.70,74.00,3.00,2.03,P3221,154,1.15,1.68,447.50,0.00,3SY6,25.95,1.90,0.5559,12.86,100.00,1.503,0.1172,42.21,0.0318,14.44,0.1134,0.959,0.097,40.21,0.1215,2.03,0.0410,7.59,0.1057,"426,799",100.00,0.9988,"29,553"
493,109,0.9799,1.00,14.80,123.00,1.00,2.29,P41212,92,0.99,1.32,353.10,0.00,1ZJJ,41.22,1.85,0.3539,9.25,100.00,1.380,0.0919,60.94,0.0465,4.52,0.0930,0.923,0.140,44.36,0.1035,2.29,0.0545,2.44,0.0743,"149,366",98.36,0.9976,"33,023"
494,109,0.9999,1.00,14.80,123.00,1.00,2.29,P41212,92,0.99,1.32,353.10,0.00,1ZJJ,41.22,1.85,0.0266,9.12,99.59,1.227,0.0780,60.94,0.0412,4.15,0.0843,0.831,0.127,44.06,0.0887,2.27,0.0501,2.28,0.0669,"140,232",94.91,0.9979,"33,753"
495,109,0.9797,1.00,14.80,123.00,1.00,2.29,P41212,92,0.99,1.32,353.10,0.00,1ZJJ,41.22,1.85,0.4525,9.00,100.00,1.443,0.1015,53.42,0.0504,4.75,0.0978,0.886,0.141,48.69,0.1140,2.18,0.0570,2.54,0.0782,"181,325",99.62,0.9959,"38,210"
197,1093,0.9790,0.00,6.00,25.00,7.00,2.05,P212121,19,1.27,2.02,246.90,0.00,3DB2,20.45,1.70,0.3087,7.83,98.34,1.579,0.1049,34.05,0.0685,3.20,0.1127,1.007,0.187,21.60,0.1258,2.05,0.0776,1.74,0.0815,"88,257",94.09,0.9921,"27,567"
198,1093,0.9184,0.00,6.00,25.00,7.00,2.05,P212121,19,1.27,2.02,246.90,0.00,3DB2,20.45,1.70,0.1626,7.87,98.11,1.510,0.0995,33.63,0.0647,3.21,0.1121,0.967,0.183,21.40,0.1192,2.07,0.0771,1.74,0.0810,"85,772",93.98,0.9948,"26,708"
199,1093,0.9796,0.00,6.00,25.00,7.00,2.05,P212121,19,1.27,2.02,246.90,0.00,3DB2,20.45,1.70,0.0945,7.99,98.33,1.503,0.0966,34.06,0.0634,3.19,0.1091,0.942,0.179,21.14,0.1161,2.04,0.0753,1.73,0.0787,"89,210",93.89,0.9891,"27,940"
66,1095,0.9795,1.00,5.00,362.00,0.00,1.98,P21212,18,0.95,0.70,96.10,0.00,4OPW,23.39,1.75,-0.0877,4.59,99.81,1.347,0.1444,45.42,0.0880,3.50,0.1624,0.793,0.198,23.18,0.1697,1.98,0.1071,1.88,0.1212,"120,727",98.47,0.9970,"34,483"
67,1095,0.9184,1.00,5.00,362.00,0.00,1.98,P21212,18,0.95,0.70,96.10,0.00,4OPW,23.39,1.75,-0.0931,4.50,99.92,1.360,0.1460,39.23,0.0884,3.58,0.1641,0.796,0.199,22.74,0.1713,1.94,0.1083,1.92,0.1224,"131,224",99.64,0.9971,"36,629"
68,1095,0.9792,1.00,5.00,362.00,0.00,1.98,P21212,18,0.95,0.70,96.10,0.00,4OPW,23.39,1.75,-0.0363,4.61,99.93,1.387,0.1499,45.44,0.0914,3.52,0.1669,0.810,0.204,23.37,0.1761,1.99,0.1101,1.89,0.1246,"119,635",99.05,0.9966,"33,976"
1062,1096,0.9792,0.00,5.70,32.00,1.00,1.47,P212121,19,1.22,2.30,557.60,0.00,3DLJ,24.78,2.26,0.7633,12.74,100.00,1.982,0.0849,50.84,0.0419,4.87,0.0668,1.353,0.127,14.74,0.0949,1.47,0.0405,2.55,0.0528,"454,225",99.93,0.9977,"93,183"
27,1107,0.9793,1.00,14.70,125.00,6.00,1.51,P42212,94,1.18,1.44,561.60,0.00,3LRK,39.74,1.95,0.2265,10.55,98.46,1.243,0.1034,57.30,0.0419,6.80,0.1066,1.026,0.100,11.28,0.1117,1.51,0.0547,3.58,0.0912,"541,392",97.79,0.9976,"79,572"
28,1107,0.9184,1.00,14.70,125.00,6.00,1.51,P42212,94,1.18,1.44,561.60,0.00,3LRK,39.74,1.95,0.1339,10.01,99.89,1.286,0.1239,57.30,0.0496,7.13,0.1309,1.007,0.107,11.10,0.1337,1.51,0.0665,3.73,0.1124,"575,167",99.86,0.9966,"80,698"
29,1107,0.9792,1.00,14.70,125.00,6.00,1.51,P42212,94,1.18,1.44,561.60,0.00,3LRK,39.74,1.95,0.2722,10.52,99.96,1.442,0.1520,55.92,0.0602,7.18,0.1538,1.062,0.145,9.67,0.1637,1.76,0.0780,3.79,0.1322,"368,746",99.90,0.9962,"51,388"
80,111,0.9796,1.00,10.60,118.00,5.00,1.39,P212121,19,0.94,1.39,831.70,0.00,4ZSG,50.15,1.79,-0.1492,12.40,99.59,0.000,0.0809,75.57,0.0294,8.20,0.0868,0.877,0.000,12.88,0.0862,1.39,0.0407,4.31,0.0764,"559,180",99.02,0.9989,"68,218"
538,1113,0.9794,1.00,4.50,285.00,3.00,1.94,P65,170,1.06,1.06,309.00,0.00,4YGU,26.42,2.20,0.0486,8.56,100.00,1.272,0.1040,41.37,0.0503,5.12,0.1129,0.917,0.157,21.89,0.1158,1.94,0.0677,2.60,0.0894,"124,297",99.37,0.9980,"24,278"
539,1113,0.9537,1.00,4.50,285.00,3.00,1.94,P65,170,1.06,1.06,309.00,0.00,4YGU,26.42,2.20,0.0082,8.14,100.00,1.254,0.1021,41.35,0.0523,4.71,0.1118,0.889,0.162,21.24,0.1151,1.93,0.0688,2.39,0.0870,"116,227",99.93,0.9977,"24,689"
540,1113,0.9792,1.00,4.50,285.00,3.00,1.94,P65,170,1.06,1.06,309.00,0.00,4YGU,26.42,2.20,0.0004,7.97,100.00,1.318,0.1099,41.32,0.0563,4.69,0.1194,0.888,0.172,30.90,0.1239,1.99,0.0735,2.38,0.0930,"105,751",99.90,0.9976,"22,528"
497,1114,0.9763,1.00,40.30,"1,577.00",1.00,1.75,P1211,4,0.49,0.58,768.60,0.00,3VZB,98.89,2.00,-0.2393,8.12,99.84,0.000,0.1350,85.72,0.0577,6.40,0.1510,0.774,0.000,21.10,0.1470,1.75,0.0819,3.28,0.1263,"577,741",99.37,0.9965,"90,273"
824,1122,0.9792,0.00,4.50,20.00,0.00,1.90,P1211,4,1.21,2.15,390.60,0.00,1QAZ,20.61,1.78,0.3833,8.52,84.69,1.626,0.1068,36.69,0.0677,3.07,0.0990,1.312,0.170,21.45,0.1268,1.90,0.0685,1.73,0.0713,"88,856",69.28,0.9836,"28,973"
501,1133,0.9789,1.00,34.80,"1,165.00",0.00,1.22,P41212,92,0.93,0.59,"1,369.60",0.00,3EJN,54.41,1.50,0.0979,6.38,82.72,1.131,0.1267,48.59,0.0578,4.42,0.1336,0.927,0.149,7.81,0.1398,1.22,0.0741,2.63,0.1104,"521,045",62.02,0.9933,"117,944"
502,1133,0.9184,1.00,34.80,"1,165.00",0.00,1.22,P41212,92,0.93,0.59,"1,369.60",0.00,3EJN,54.41,1.50,0.0760,5.84,87.91,1.033,0.1206,46.65,0.0556,4.61,0.1286,0.781,0.154,7.82,0.1334,1.25,0.0712,2.69,0.1063,"539,420",69.45,0.9948,"117,055"
503,1133,0.9785,1.00,34.80,"1,165.00",0.00,1.22,P41212,92,0.93,0.59,"1,369.60",0.00,3EJN,54.41,1.50,0.0808,7.61,99.23,1.072,0.1306,48.72,0.0567,6.23,0.1387,0.704,0.190,6.34,0.1427,1.61,0.0756,3.32,0.1155,"390,724",98.88,0.9933,"62,727"
57,1135,0.9795,0.00,5.70,24.00,7.00,1.76,C2221,20,1.04,1.80,283.80,0.00,2M38,28.78,0.00,-0.2413,15.09,100.00,1.039,0.0527,63.39,0.0216,7.00,0.0579,0.828,0.068,34.18,0.0570,1.76,0.0297,3.70,0.0495,"147,294",99.88,0.9990,"21,036"
1200,114,0.9763,1.00,50.20,"1,602.00",4.00,2.00,H32,155,0.69,0.63,243.60,0.00,5JYO,78.73,2.10,-0.0403,14.98,99.82,0.000,0.0748,101.82,0.0235,10.63,0.0791,0.902,0.000,36.88,0.0785,2.00,0.0330,5.44,0.0717,"561,737",99.75,0.9987,"52,832"
1134,1153,0.9795,1.00,11.80,137.00,0.00,1.98,C2221,20,0.91,1.52,"1,040.70",0.00,4L8T,55.44,2.95,0.0029,9.13,98.00,1.201,0.0858,50.61,0.0466,4.04,0.0962,0.906,0.138,21.90,0.0981,1.98,0.0599,2.21,0.0747,"115,325",90.17,0.9975,"28,524"
572,116,1.0163,1.00,17.20,229.00,3.00,1.69,C2221,20,0.99,0.74,100.20,0.00,5UIY,27.83,1.69,-0.1427,11.02,95.89,0.000,0.0657,42.06,0.0315,4.85,0.0728,0.738,0.000,19.61,0.0733,1.69,0.0419,2.58,0.0591,"117,652",93.47,0.9959,"24,244"
940,1161,0.9795,0.00,7.10,19.00,10.00,1.43,P1,1,0.00,0.00,440.50,0.00,4EXL,52.27,1.70,0.0000,3.56,72.91,0.802,0.1215,37.11,0.1215,1.65,0.5545,0.537,0.228,6.03,0.1718,1.43,0.3921,1.04,0.3921,"122,357",42.19,0.9570,"74,242"
941,1161,0.9116,0.00,7.10,19.00,10.00,1.43,P1,1,0.00,0.00,440.50,0.00,4EXL,52.27,1.70,0.0000,4.52,79.39,0.589,0.0545,37.11,0.0545,1.67,0.1853,0.429,0.145,3.95,0.0771,1.67,0.1310,1.02,0.1310,"85,009",50.34,0.9913,"50,796"
942,1161,0.9793,0.00,7.10,19.00,10.00,1.43,P1,1,0.00,0.00,440.50,0.00,4EXL,52.27,1.70,0.0000,3.63,78.19,0.685,0.0789,37.19,0.0789,1.83,0.1782,0.419,0.188,3.89,0.1116,1.49,0.1260,1.09,0.1260,"129,163",52.87,0.9883,"70,404"
870,1162,0.9245,0.00,5.60,25.00,6.00,1.52,P212121,19,1.15,2.05,356.00,0.00,3VN9,28.82,2.60,-0.1327,11.15,96.88,0.000,0.0937,35.33,0.0357,7.47,0.1011,0.875,0.000,12.51,0.1005,1.52,0.0489,3.95,0.0881,"332,959",96.23,0.9976,"44,586"
998,1163,0.9794,0.00,5.10,36.00,10.00,1.67,P62,171,1.14,1.71,213.80,0.00,4FS7,31.52,1.19,0.4050,11.43,99.83,1.404,0.1039,59.81,0.0380,8.30,0.1043,1.001,0.121,17.50,0.1108,1.67,0.0491,4.23,0.0916,"609,775",98.95,0.9984,"73,490"
999,1163,0.9796,0.00,5.10,36.00,10.00,1.67,P62,171,1.14,1.71,213.80,0.00,4FS7,31.52,1.19,-0.0081,10.34,99.83,1.287,0.1043,59.88,0.0517,5.00,0.1162,0.902,0.152,17.94,0.1168,1.91,0.0695,2.56,0.0922,"245,489",98.23,0.9966,"49,130"
1000,1163,0.9116,0.00,5.10,36.00,10.00,1.67,P62,171,1.14,1.71,213.80,0.00,4FS7,31.52,1.19,0.0146,10.49,99.82,1.316,0.1089,51.87,0.0536,5.04,0.1209,0.910,0.160,17.90,0.1218,2.01,0.0722,2.58,0.0961,"212,629",98.66,0.9960,"42,200"
644,1165,0.9792,1.00,20.20,257.00,2.00,1.93,P4132,213,0.83,0.83,259.00,0.00,3FYF,46.11,2.20,0.6444,18.43,100.00,1.523,0.0840,44.63,0.0213,16.47,0.0807,1.080,0.077,33.25,0.0868,1.93,0.0269,8.92,0.0759,"436,384",100.00,0.9992,"26,493"
592,1173,0.9793,0.00,10.00,52.00,6.00,2.35,P43212,96,0.93,1.73,788.30,0.00,3RH2,37.26,2.42,0.7997,17.56,100.00,1.759,0.0690,37.69,0.0237,9.29,0.0635,1.126,0.077,63.38,0.0731,2.35,0.0277,5.16,0.0570,"126,974",99.99,0.9996,"13,669"
593,1173,0.9184,0.00,10.00,52.00,6.00,2.35,P43212,96,0.93,1.73,788.30,0.00,3RH2,37.26,2.42,0.5608,16.97,100.00,1.368,0.0608,37.70,0.0209,9.32,0.0604,0.990,0.069,64.34,0.0644,2.31,0.0264,5.17,0.0543,"134,028",99.97,0.9997,"14,376"
594,1173,0.9792,0.00,10.00,52.00,6.00,2.35,P43212,96,0.93,1.73,788.30,0.00,3RH2,37.26,2.42,0.7556,17.71,100.00,1.630,0.0663,37.67,0.0228,9.29,0.0623,1.076,0.074,63.41,0.0702,2.36,0.0272,5.16,0.0559,"125,326",99.97,0.9996,"13,496"
1033,1176,0.9785,0.00,3.50,14.00,9.00,1.20,P1211,4,1.13,2.10,439.80,0.00,3LIU,26.35,2.05,0.6085,17.72,71.87,1.493,0.0461,36.41,0.0249,4.04,0.0401,1.229,0.078,8.91,0.0526,1.20,0.0251,2.09,0.0310,"287,170",68.68,0.9991,"71,132"
1034,1176,0.9184,0.00,3.50,14.00,9.00,1.20,P1211,4,1.13,2.10,439.80,0.00,3LIU,26.35,2.05,0.2691,13.05,73.60,1.233,0.0425,36.43,0.0276,3.08,0.0449,0.990,0.086,8.32,0.0510,1.14,0.0311,1.69,0.0323,"262,405",62.04,0.9992,"85,285"
897,1179,0.9795,1.00,18.90,297.00,2.00,1.61,C2221,20,0.43,0.45,"1,069.10",0.00,2E7O,93.75,0.00,-0.0888,10.78,99.97,0.000,0.0721,37.01,0.0278,7.54,0.0788,0.613,0.000,25.62,0.0774,1.61,0.0385,3.96,0.0685,"223,036",99.62,0.9987,"29,591"
481,1180,0.9200,0.00,7.80,73.00,6.00,1.23,C121,5,0.97,1.64,977.00,0.00,4AZF,42.61,2.55,-0.1485,8.90,88.83,0.000,0.0773,54.86,0.0403,4.24,0.0870,0.846,0.000,9.78,0.0877,1.23,0.0527,2.17,0.0686,"451,251",86.95,0.9983,"106,408"
801,1186,0.9795,0.00,5.20,21.00,4.00,1.76,P212121,19,1.01,1.46,155.80,0.00,1UPQ,30.70,1.48,-0.0975,6.72,97.29,0.000,0.1146,43.65,0.0683,3.54,0.1363,0.796,0.000,17.73,0.1343,1.76,0.0869,2.00,0.1042,"46,817",88.17,0.9827,"13,222"
1220,1191,0.9794,0.00,11.00,76.00,8.00,1.88,P3221,154,1.00,1.30,255.20,0.00,4E9K,29.38,2.31,0.2729,13.01,99.69,1.337,0.0865,69.21,0.0344,7.15,0.0891,0.929,0.093,28.13,0.0932,1.88,0.0454,3.73,0.0764,"226,747",99.17,0.9991,"31,732"
1221,1191,0.9184,0.00,11.00,76.00,8.00,1.88,P3221,154,1.00,1.30,255.20,0.00,4E9K,29.38,2.31,0.2872,12.24,99.97,1.437,0.1042,69.19,0.0414,7.20,0.1065,0.955,0.103,34.23,0.1122,1.89,0.0543,3.75,0.0914,"225,606",99.80,0.9989,"31,354"
